eta,F,dF,d2F,G,dG
0,0,0,0.332057345610548,1,-0.147181710226854
0.1,0.00166028672805274,0.0332055048483865,0.332048157294511,0.985281839159141,-0.147181302954632
0.2,0.00664100908953616,0.0664077939545961,0.331983846645691,0.970563820862306,-0.147178452107965
0.3,0.0149414780856333,0.0995986012468145,0.331809358110262,0.955846311627195,-0.147170714656953
0.4,0.0265599031107501,0.132764164317682,0.331469853996229,0.941129922200142,-0.147155649329041
0.5,0.0414928437844338,0.165885257906762,0.33091096488256,0.926415507285843,-0.147130818634161
0.6,0.0597346665475847,0.198937257331776,0.330079137737004,0.911704165034338,-0.147093791693472
0.7,0.0812770095011843,0.231890241475069,0.328922078131997,0.896997236205304,-0.147042147862155
0.8,0.106108259904913,0.264709144465493,0.327389280761639,0.882296302930981,-0.146973481130862
0.9,0.134213049633835,0.297353964487587,0.325432639822247,0.86760318700094,-0.146885405283177
1,0.165571774687446,0.329780037158388,0.323007127809933,0.852919947594542,-0.146775559778029
1.1,0.200160145526804,0.361938379606029,0.320071528028101,0.838248878390575,-0.146641616316388
1.2,0.237948775549768,0.393776109745599,0.31658920273627,0.823592503988082,-0.146481286041149
1.3,0.278902815367985,0.425236943275365,0.312528875591126,0.808953575578087,-0.14629232730801
1.4,0.322981640689724,0.456261768628664,0.307865404040374,0.794335065812707,-0.146072553953664
1.5,0.370138601510046,0.486789297553916,0.302580514857515,0.779740162826077,-0.145819843976187
1.6,0.420320839939778,0.516756786220802,0.296663474285466,0.765172263370594,-0.145532148531369
1.7,0.47346918335022,0.546100818851269,0.29011166351482,0.750634965042129,-0.145207501138451
1.8,0.529518118564157,0.574758142957905,0.282931030657571,0.736132057578982,-0.144844026979603
1.9,0.588395851590227,0.602666542464974,0.275136392142824,0.721667513231308,-0.144439952170007
2,0.650024455894524,0.629765732427401,0.266751559646125,0.707245476210348,-0.143993612869999
2.1,0.714320110462528,0.655998256893057,0.257809273276062,0.692870251239814,-0.14350346410769
2.2,0.781193426972002,0.68131036981323,0.248350927694597,0.678546291245001,-0.142968088180209
2.3,0.850549863332809,0.705652877920591,0.238426084955418,0.664278184228237,-0.142386202504325
2.4,0.922290218723448,0.728981924265577,0.22809177582416,0.650070639391993,-0.14175666679293
2.5,0.996311203146071,0.751259691700105,0.217411599824987,0.635928472582876,-0.141078489442597
2.6,1.07250607251618,0.772455007050613,0.206454642802213,0.62185659114066,-0.140350833029173
2.7,1.15076531848519,0.79254382901324,0.195294238915649,0.607859978246123,-0.139573018822773
2.8,1.23097740064441,0.811509605866908,0.184006611220739,0.593943676869484,-0.138744530250302
2.9,1.31302950754992,0.829343492822172,0.172669430866358,0.580112773427507,-0.137865015252308
3,1.39680833219731,0.846044423050116,0.161360339089093,0.566372381261677,-0.13693428750093
3.1,1.4822008472051,0.861619030977312,0.150155478307535,0.552727624052136,-0.135952326466359
3.2,1.56909506505665,0.876081431078876,0.13912807856397,0.539183619282294,-0.134919276339994
3.3,1.65738076930181,0.889452859931523,0.128347143304671,0.525745461867189,-0.133835443842531
3.4,1.74695020360937,0.901761193487474,0.117876274158808,0.512418208054902,-0.132701294964135
3.5,1.83769870694626,0.913040355202433,0.107772668229424,0.499206859704739,-0.131517450700882
3.6,1.929525284878,0.923329633632997,0.0980863138221146,0.486116349038723,-0.130284681866434
3.7,2.02233310896214,0.932672930288989,0.0888594019658131,0.473151523954394,-0.129003903070065
3.8,2.11602993835692,0.941117959811077,0.0801259620317054,0.460317133977342,-0.127676165961328
3.9,2.21052846000045,0.948715424921707,0.0719117207452716,0.447617816921525,-0.126302651847883
4,2.30574654594282,0.955518188096303,0.0642341753990154,0.435058086314565,-0.124884663796182
4.1,2.401607428549,0.961580460596051,0.0571028645333643,0.422642319634261,-0.123423618324976
4.2,2.49803979626006,0.966957027505714,0.0505198130966423,0.410374747391589,-0.121921036799265
4.3,2.59497781434084,0.971702524870712,0.0444801243533479,0.398259443084991,-0.120378536627607
4.4,2.69236107650729,0.975870782085455,0.0389726877030531,0.386300314040703,-0.118797822359024
4.5,2.79013449448453,0.979514239514663,0.0339809701107038,0.374501093144719,-0.117180676767543
4.6,2.88824813338279,0.982683448091889,0.0294838589449689,0.362865331463594,-0.115528952003103
4.7,2.98665700129414,0.985426654482655,0.0254565255048011,0.351396391743928,-0.113844560877559
4.8,3.08532080172146,0.987789472451084,0.0218712811549411,0.340097442774022,-0.112129468344233
4.9,3.18420365738074,0.989814638431181,0.018698401519979,0.328971454585844,-0.110385683219297
5,3.28327381360148,0.991541847051679,0.0159068983192027,0.318021194471128,-0.108615250183443
5.1,3.38250332903042,0.993007660542764,0.013465222880724,0.30724922378203,-0.106820242093163
5.2,3.48186776066409,0.994245484583346,0.0113418898944984,0.296657895484272,-0.105002752622615
5.3,3.58134584944208,0.995285602223695,0.00950601432520025,0.286249352428981,-0.103164889249678
5.4,3.68091921176764,0.996155257014794,0.00792775842531864,0.276025526308375,-0.101308766593463
5.5,3.7805720414262,0.996878776351262,0.00657868933070467,0.265988137260037,-0.0994365001052264
5.6,3.88029082548095,0.997477726236672,0.0054320506964648,0.256138694084509,-0.0975502001103547
5.7,3.98006407686658,0.997971089149275,0.0044629541959498,0.246478495041346,-0.0956519661957661
5.8,4.07988208560281,0.998375457360862,0.00364849845401914,0.237008629189509,-0.0937438819346235
5.9,4.17973668982418,0.998705234881317,0.00296782414444871,0.227729978238808,-0.091828009938581
6,4.27962106718519,0.99897284210961,0.00240211460188887,0.218643218880197,-0.089906387226767
6.1,4.37952954665465,0.999188918218202,0.00193455145015199,0.209748825563803,-0.0879810209002423
6.2,4.47945744026344,0.999362517238972,0.00155023451008795,0.201047073694707,-0.0860538841106275
6.3,4.579400894012,0.99950129472009,0.00123607470515147,0.192538043217615,-0.0841269123118875
6.4,4.67935675687321,0.999611682658102,0.00098066791296049,0.184221622562632,-0.0822019997847735
6.5,4.77932246663511,0.999699051159397,0.000774156793285697,0.17609751292537,-0.0802809964240912
6.6,4.8792959512066,0.999767855938795,0.000608086625260947,0.168165232855577,-0.0783657047796984
6.7,4.97927554394892,0.999821771315276,0.000475260167250951,0.160424123129318,-0.076457877342892
6.8,5.07925991158447,0.999863808816168,0.000369595558792652,0.152873351880583,-0.0745592140705738
6.9,5.17924799326488,0.999896421855768,0.000285990351264798,0.145511919968869,-0.0726713601402483
7,5.27923894944025,0.999921597219933,0.000220193907818645,0.138338666559992,-0.0707959039294912
7.1,5.37923211925485,0.99994093427419,0.000168689669490868,0.131352274897978,-0.0689343752140122
