eta,F,dF,d2F,G,dG
0,0,0,0.332057345610548,1,-0.332057345610547
0.1,0.00166028672805274,0.0332055048483865,0.332048157294511,0.966794495151614,-0.33204815729451
0.2,0.00664100908953616,0.0664077939545961,0.331983846645691,0.933592206045404,-0.33198384664569
0.3,0.0149414780856333,0.0995986012468145,0.331809358110262,0.900401398753186,-0.331809358110261
0.4,0.0265599031107501,0.132764164317682,0.331469853996229,0.867235835682319,-0.331469853996229
0.5,0.0414928437844338,0.165885257906762,0.33091096488256,0.834114742093238,-0.330910964882559
0.6,0.0597346665475847,0.198937257331776,0.330079137737004,0.801062742668224,-0.330079137737003
0.7,0.0812770095011843,0.231890241475069,0.328922078131997,0.768109758524931,-0.328922078131997
0.8,0.106108259904913,0.264709144465493,0.327389280761639,0.735290855534507,-0.327389280761638
0.9,0.134213049633835,0.297353964487587,0.325432639822247,0.702646035512414,-0.325432639822246
1,0.165571774687446,0.329780037158388,0.323007127809933,0.670219962841612,-0.323007127809932
1.1,0.200160145526804,0.361938379606029,0.320071528028101,0.638061620393972,-0.3200715280281
1.2,0.237948775549768,0.393776109745599,0.31658920273627,0.606223890254402,-0.31658920273627
1.3,0.278902815367985,0.425236943275365,0.312528875591126,0.574763056724636,-0.312528875591125
1.4,0.322981640689724,0.456261768628664,0.307865404040374,0.543738231371337,-0.307865404040374
1.5,0.370138601510046,0.486789297553916,0.302580514857515,0.513210702446085,-0.302580514857515
1.6,0.420320839939778,0.516756786220802,0.296663474285466,0.483243213779199,-0.296663474285465
1.7,0.47346918335022,0.546100818851269,0.29011166351482,0.453899181148732,-0.290111663514819
1.8,0.529518118564157,0.574758142957905,0.282931030657571,0.425241857042097,-0.282931030657571
1.9,0.588395851590227,0.602666542464974,0.275136392142824,0.397333457535027,-0.275136392142824
2,0.650024455894524,0.629765732427401,0.266751559646125,0.3702342675726,-0.266751559646124
2.1,0.714320110462528,0.655998256893057,0.257809273276062,0.344001743106945,-0.257809273276062
2.2,0.781193426972002,0.68131036981323,0.248350927694597,0.318689630186771,-0.248350927694597
2.3,0.850549863332809,0.705652877920591,0.238426084955418,0.29434712207941,-0.238426084955418
2.4,0.922290218723448,0.728981924265577,0.22809177582416,0.271018075734425,-0.22809177582416
2.5,0.996311203146071,0.751259691700105,0.217411599824987,0.248740308299896,-0.217411599824987
2.6,1.07250607251618,0.772455007050613,0.206454642802213,0.227544992949389,-0.206454642802213
2.7,1.15076531848519,0.79254382901324,0.195294238915649,0.207456170986761,-0.195294238915649
2.8,1.23097740064441,0.811509605866908,0.184006611220739,0.188490394133094,-0.184006611220738
2.9,1.31302950754992,0.829343492822172,0.172669430866358,0.170656507177829,-0.172669430866357
3,1.39680833219731,0.846044423050116,0.161360339089093,0.153955576949886,-0.161360339089092
3.1,1.4822008472051,0.861619030977312,0.150155478307535,0.13838096902269,-0.150155478307535
3.2,1.56909506505665,0.876081431078876,0.13912807856397,0.123918568921125,-0.139128078563969
3.3,1.65738076930181,0.889452859931523,0.128347143304671,0.110547140068479,-0.128347143304671
3.4,1.74695020360937,0.901761193487474,0.117876274158808,0.0982388065125283,-0.117876274158807
3.5,1.83769870694626,0.913040355202433,0.107772668229424,0.0869596447975692,-0.107772668229424
3.6,1.929525284878,0.923329633632997,0.0980863138221146,0.0766703663670051,-0.0980863138221145
3.7,2.02233310896214,0.932672930288989,0.0888594019658131,0.0673270697110132,-0.0888594019658129
3.8,2.11602993835692,0.941117959811077,0.0801259620317054,0.0588820401889252,-0.0801259620317052
3.9,2.21052846000045,0.948715424921707,0.0719117207452716,0.0512845750782951,-0.0719117207452714
4,2.30574654594282,0.955518188096303,0.0642341753990154,0.0444818119036988,-0.0642341753990153
4.1,2.401607428549,0.961580460596051,0.0571028645333643,0.0384195394039514,-0.0571028645333642
4.2,2.49803979626006,0.966957027505714,0.0505198130966423,0.0330429724942881,-0.0505198130966422
4.3,2.59497781434084,0.971702524870712,0.0444801243533479,0.02829747512929,-0.0444801243533478
4.4,2.69236107650729,0.975870782085455,0.0389726877030531,0.0241292179145468,-0.038972687703053
4.5,2.79013449448453,0.979514239514663,0.0339809701107038,0.020485760485339,-0.0339809701107037
4.6,2.88824813338279,0.982683448091889,0.0294838589449689,0.0173165519081132,-0.0294838589449689
4.7,2.98665700129414,0.985426654482655,0.0254565255048011,0.0145733455173465,-0.025456525504801
4.8,3.08532080172146,0.987789472451084,0.0218712811549411,0.0122105275489181,-0.021871281154941
4.9,3.18420365738074,0.989814638431181,0.018698401519979,0.0101853615688213,-0.018698401519979
5,3.28327381360148,0.991541847051679,0.0159068983192027,0.0084581529483231,-0.0159068983192026
5.1,3.38250332903042,0.993007660542764,0.013465222880724,0.00699233945723786,-0.013465222880724
5.2,3.48186776066409,0.994245484583346,0.0113418898944984,0.00575451541665625,-0.0113418898944983
5.3,3.58134584944208,0.995285602223695,0.00950601432520025,0.00471439777630688,-0.00950601432520023
5.4,3.68091921176764,0.996155257014794,0.00792775842531864,0.00384474298520769,-0.00792775842531863
5.5,3.7805720414262,0.996878776351262,0.00657868933070467,0.00312122364874041,-0.00657868933070465
5.6,3.88029082548095,0.997477726236672,0.0054320506964648,0.00252227376332981,-0.00543205069646479
5.7,3.98006407686658,0.997971089149275,0.0044629541959498,0.00202891085072666,-0.0044629541959498
5.8,4.07988208560281,0.998375457360862,0.00364849845401914,0.00162454263913977,-0.00364849845401913
5.9,4.17973668982418,0.998705234881317,0.00296782414444871,0.00129476511868529,-0.00296782414444871
6,4.27962106718519,0.99897284210961,0.00240211460188887,0.00102715789039203,-0.00240211460188887
6.1,4.37952954665465,0.999188918218202,0.00193455145015199,0.000811081781800225,-0.00193455145015198
6.2,4.47945744026344,0.999362517238972,0.00155023451008795,0.000637482761030042,-0.00155023451008794
6.3,4.579400894012,0.99950129472009,0.00123607470515147,0.000498705279912041,-0.00123607470515146
6.4,4.67935675687321,0.999611682658102,0.00098066791296049,0.000388317341900009,-0.000980667912960488
6.5,4.77932246663511,0.999699051159397,0.000774156793285697,0.000300948840604473,-0.000774156793285696
6.6,4.8792959512066,0.999767855938795,0.000608086625260947,0.000232144061206972,-0.000608086625260946
6.7,4.97927554394892,0.999821771315276,0.000475260167250951,0.000178228684726247,-0.00047526016725095
